Category,Type,Text,Context,Count,Example Files
"footer","headings","본사 이전 안내 및 새로운 주소지 정보 공지","h1",2,"index.html?p=222.html; index.html"
"footer","links","본사 이전 안내 및 새로운 주소지 정보 공지","a",3,"index.html; index.html; index.html"
"footer","labels","본사 이전 안내 및 새로운 주소지 정보 공지","span",7,"index.html?p=6031.html; index.html; index.html"
"footer","paragraphs","기존의 전화번호와 이메일 주소는 변동 없이 그대로 사용 가능합니다. 본사 이전으로 인해 불편을 끼쳐드린 점 양해 부탁드리며, 앞으로도 많은 관심과 성원 부탁드립니다.","p",2,"index.html?p=6806.html; index.html"
"footer","paragraphs","대표명","p",64,"index.html?p=6031.html; index.html?p=8058.html; index.html"
"footer","paragraphs","디펄스","p",64,"index.html?p=6031.html; index.html?p=8058.html; index.html"
"footer","paragraphs","사업자등록번호","p",64,"index.html?p=6031.html; index.html?p=8058.html; index.html"
"footer","paragraphs","상호","p",64,"index.html?p=6031.html; index.html?p=8058.html; index.html"
"footer","paragraphs","서울특별시 중구 세종대로 110","p",64,"index.html?p=6031.html; index.html?p=8058.html; index.html"
"footer","paragraphs","전화번호","p",64,"index.html?p=6031.html; index.html?p=8058.html; index.html"
"footer","paragraphs","주소","p",64,"index.html?p=6031.html; index.html?p=8058.html; index.html"
"footer","paragraphs","팩스","p",64,"index.html?p=6031.html; index.html?p=8058.html; index.html"
"footer","other","각 지점의 주소와 교통편 안내를 통해 쉽게 방문하실 수 있습니다.","text",2,"index.html?p=8059.html; index.html"
"footer","other","새로운 주소:","strong",2,"index.html?p=6806.html; index.html"
"footer","lists","2024년 8월 1일(목)부터 새로운 주소지에서 업무를 시작합니다.","li",2,"index.html?p=6806.html; index.html"
"footer","titles","본사 이전 안내 및 새로운 주소지 정보 공지","title",3,"index.html; index.html; index.html"
"history","headings","설립 및 초기 기반 구축","h5",2,"index.html?p=8058.html; index.html"
"history","headings","연구성과와 글로벌 협력 확대","h5",2,"index.html?p=8058.html; index.html"
"history","headings","지속 가능한 성장과 글로벌 영향력","h5",2,"index.html?p=8058.html; index.html"
"history","paragraphs","2010년 설립된 전문 연구기관으로, 현대인의 건강 증진과 질병 예방을 위한 혁신적인 연구와 개발을 수행하고 있습니다.","p",2,"index.html?p=8057.html; index.html"
"history","paragraphs","우리 센터는 건강 증진과 질병 예방을 위한 연구를 통해 현대인의 삶의 질을 향상시키는 데 전념하고 있습니다. 급변하는 의료 환경 속에서 과학적 근거와 최신 기술을 바탕으로, 실질적이고 지속 가능한 솔루션을 제공하고자 노력하고 있습니다.","p",2,"index.html?p=8057.html; index.html"
"history","lists","건강의학연구센터 설립","li",2,"index.html?p=8058.html; index.html"
"history","lists","국내 1호 건강관리 소프트웨어 출시","li",2,"index.html?p=8058.html; index.html"
"history","lists","빅데이터를 활용한 의료 분석 솔루션 출시.","li",2,"index.html?p=8058.html; index.html"
"history","lists","센터 확장 및 리브랜딩","li",2,"index.html?p=8058.html; index.html"
"history","lists","연구소 인프라 구축","li",2,"index.html?p=8058.html; index.html"
"history","lists","현대인의 건강 증진과 질병 예방을 목표로 설립.","li",2,"index.html?p=8058.html; index.html"
"overview","headings","건강을 위한 비전과 열정을 담은 로고","h3",2,"index.html?p=8057.html; index.html"
"overview","headings","건강한 삶을 위한 과학, 우리 모두를 위한 미래","h3",2,"index.html?p=8057.html; index.html"
"overview","headings","우리는 의료와 기술의 경계를 허물고, 건강 혁신의 새로운 패러다임을 창조합니다.","h3",2,"index.html?p=8057.html; index.html"
"overview","paragraphs","“과학으로 건강한 삶을 설계한다”는 비전 아래, 우리는 각종 만성질환의 예방 연구, 개인 맞춤형 건강 관리 기술 개발, 의료 데이터 분석을 통한 새로운 인사이트를 제시하며 글로벌 헬스케어 분야의 혁신을 선도하고 있습니다.","p",2,"index.html?p=8057.html; index.html"
"overview","paragraphs","안녕하십니까,","p",2,"index.html?p=8057.html; index.html"
"overview","paragraphs","질병 없는 건강한 세상을 만들기 위해, 건강의학연구센터는 과학과 기술의 융합을 바탕으로 최첨단 연구를 진행하고 있습니다. 여러분의 건강한 삶을 위한 연구 성과를 지속적으로 발표하며, 다양한 협력을 통해 더 나은 내일을 준비합니다.","p",2,"index.html?p=8103.html; index.html"
"overview","other","감사합니다.","strong",2,"index.html?p=8057.html; index.html"
"overview","other","건강의학연구센터를 찾아주신 여러분께 진심으로 감사드립니다.","text",2,"index.html?p=8057.html; index.html"
"overview","lists","새로운 로고와 비전 발표, 연구소 시설 확장.","li",2,"index.html?p=8058.html; index.html"
"projects","headings","개인 건강 관리","h4",6,"index.html?p=7123.html; index.html?p=7125.html; index.html?p=7129.html"
"projects","headings","건강의학연구센터 본사 및 연구소 안내","h3",2,"index.html?p=8059.html; index.html"
"projects","headings","경기도 연구소","h4",2,"index.html?p=8059.html; index.html"
"projects","headings","고객 중심","h5",2,"index.html?p=8103.html; index.html"
"projects","headings","과학과 건강 이야기","h2",1,"index.html"
"projects","headings","글로벌 파트너십 네트워크","h3",2,"index.html?p=8103.html; index.html"
"projects","headings","디지털 헬스케어 플랫폼 구축","h4",1,"index.html"
"projects","headings","부산 연구소","h4",2,"index.html?p=8059.html; index.html"
"projects","headings","새소식","h1",1,"index.html"
"projects","headings","세계적 기준을 만족한 인증서","h3",2,"index.html?p=8103.html; index.html"
"projects","headings","아이디어 구상 및 요구 사항 분석","h4",2,"index.html?p=8101.html; index.html"
"projects","headings","연구소","h4",6,"index.html?p=7123.html; index.html?p=7125.html; index.html?p=7129.html"
"projects","headings","우리가 만들어가는 과학과 건강의 이야기를 시각적으로 경험해 보세요.","h2",3,"index.html?p=6031.html; index.html; index.html"
"projects","headings","웹진","h1",1,"index.html"
"projects","headings","의료기관","h4",6,"index.html?p=7123.html; index.html?p=7125.html; index.html?p=7129.html"
"projects","headings","정기적으로 발행되는 웹진에서 과학적 통찰과 건강 트렌드를 만나보세요.","h2",3,"index.html?p=7048.html; index.html; index.html"
